Exer;RA;Cur;Ser;Per;Fingr;StIni;StFin;OriDisc;StIniDisc;StFinDisc;P1;T1;MT;MP;MF;SituaçãoFinal
2015;2002;EN;3;D;RTRG;REP;RET;REG;MDT;TRC;x;x;1,1;1;1,0;NÃO PASSOU
2015;2003;FB;1;N;VES;REG;PRO;REG;MAT;AP1;6,5;8,5;7,8;7;7,2;PASSOU
2015;2005;CV;2;D;REN;REP;RET;REG;DEP;AP1;4;9;7,6;5,4;6,1;PASSOU
2015;2006;FB;1;N;VES;REG;TRG;REG;MAT;TRC;1;4,5;2,3;0,3;0,9;NÃO PASSOU
2015;2009;FB;1;N;REN;REP;RET;REG;DEP;RP1;1;0,5;0,3;0,4;0,4;NÃO PASSOU
2015;2009;FB;1;N;VES;REG;TRG;REG;MAT;TRC;2,5;1,5;0,3;0,5;0,4;NÃO PASSOU
2015;2009;PM;2;N;REN;REP;RET;REG;DEP;RP1;6,5;6,5;4,2;5,2;4,9;NÃO PASSOU
2015;2010;QM;2;N;REN;REP;PRO;REG;DEP;AP1;6;8;8,1;5,2;6,1;PASSOU
2015;2010;PM;2;N;REN;REG;RET;REG;DEP;RP1;3;4;3,7;3;3,2;NÃO PASSOU
2015;2010;FB;1;N;RTRG;REP;RET;REG;MAT;RP1;1;2,5;2,1;0,2;0,8;NÃO PASSOU
2015;2010;FB;1;N;REN;REP;CAN;REG;DEP;;4;7,5;3,6;0,8;1,6;NÃO PASSOU
2015;2010;FB;1;N;TFRI;REP;TRG;REG;DEP;TRC;1,5;1;1,2;0,8;0,9;NÃO PASSOU
2015;2010;FB;1;N;RTRG;REP;RET;REG;MDT;RP1;1,5;2,5;5,9;3,2;4,0;NÃO PASSOU
2015;2010;CV;2;D;REN;REG;RET;REG;DEP;RP1;3;2;3,9;4;4,0;NÃO PASSOU
2015;2010;MC;3;N;REN;REP;PRO;REG;DEP;AP1;9,5;x;4,3;7,1;6,3;PASSOU
2015;2010;FB;1;N;REN;REP;RET;REG;DEP;RP1;4,5;7,5;1,7;0,9;1,1;NÃO PASSOU
2015;2011;FB;1;D;REN;REP;PRO;REG;DEP;RP1;3,5;5;6,5;5;5,5;NÃO PASSOU
2015;2011;FB;1;D;RTRG;REP;PRO;REG;MDT;AP1;9,5;9;8,3;8,1;8,2;PASSOU
2015;2011;CV;2;N;REN;REP;RET;REG;DEP;RP1;8;8;4,4;5,3;5,0;NÃO PASSOU
2015;2011;CV;2;D;REN;REG;RET;REG;DEP;RP1;4,5;8;6,9;4,1;4,9;NÃO PASSOU
2015;2011;FB;1;D;REN;REP;PRO;REG;DEP;AP1;6;9,5;8,3;5,6;6,4;PASSOU
2015;2011;FB;1;D;REN;REP;RET;REG;DEP;RP1;0,5;7,5;2,5;0,2;0,9;NÃO PASSOU
