Exer,Esc,RA_HASH,Cur,Ser,Per,Fingr,StIni,StFin,DtSitCur,CdDis,CurDis,SerDis,PerDis,G,T,L,OriDisc,StIniDisc,StFinDisc,DtStDisc,SemDisc,CritDisc,QtTrabalhos,KT,KP,P1,P2,PS1,P3,P4,PS2,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,MT,MP,MF,Partição,$R-P3,$RC-P3,$RI-P3
2016.000,EEM,74b2f58d269e8a0d513e7ad8154b2bf3,EN,3.000,D,REN,REP,RET,30-12-2016,EFB106,FB,1.000,D,1.000,1.000,1.000,REG,MDT,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,$null$,$null$,0.5,$null$,$null$,$null$,2,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,0,0.217,4
2016.000,EEM,4004cc390cc258c00b6136ebfe151c81,FB,1.000,N,REN,REP,RET,02-01-2017,EFB106,FB,1.000,N,1.000,1.000,2.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,6.5,3.5,$null$,$null$,$null$,$null$,6.5,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,4,0.205,10
2016.000,EEM,df62d1b0a6ff03e49e42fed6d3853c24,PM,2.000,N,REN,REP,RET,02-01-2017,EFB106,FB,1.000,N,1.000,1.000,1.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,8,2,1,2,1,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,4,0.205,10
2016.000,EEM,a6a4c874f439dfaec402a74c4fe32771,FB,1.000,N,REN,REP,TRG,05-08-2016,EFB106,FB,1.000,N,2.000,3.000,4.000,REG,DEP,TRC,05-08-2016,AN,C2,4.000,0.3,0.7,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,2_Testando,0,0.217,4
2016.000,EEM,8c62f5fdf9d0f8d08ca69f283b235f34,PM,2.000,N,REN,REP,RET,02-01-2017,EFB106,FB,1.000,N,1.000,2.000,2.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,0,0.217,4
2016.000,EEM,d7219d902e1be6a4f61b6af17050aaa5,FB,1.000,N,REN,REP,PRO,30-12-2016,EFB106,FB,1.000,N,2.000,4.000,6.000,REG,DEP,AP1,30-12-2016,AN,C2,4.000,0.3,0.7,9,5.5,4,5.5,7,6,10,10,9,9,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,4,0.125,9
2016.000,EEM,9193e0b71cd5194e79cf0383924d2809,CV,2.000,N,TFRI,REP,RET,02-01-2017,EFB106,FB,1.000,N,3.000,5.000,7.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,4.5,$null$,2,3,4.5,6.5,7.5,5,3,3.5,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,0,0.217,4
2016.000,EEM,1ecff0fd2ac10e78442ab88a7d436937,FB,1.000,N,REN,REP,RET,02-01-2017,EFB106,FB,1.000,N,2.000,3.000,5.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,$null$,$null$,$null$,$null$,$null$,$null$,3,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,0,0.217,4
2016.000,EEM,1c72fad8d5df98e9accea6c24d829ee7,QM,2.000,D,REN,REG,PRO,17-02-2017,EFB106,FB,1.000,D,1.000,2.000,3.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,3,2,2,4.5,4.5,4,$null$,8.5,8.5,6.5,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,4,0.125,9
2016.000,EEM,84c48b9568c9b9ed2fcc71eb316ec45b,FB,1.000,D,REN,REP,RET,02-01-2017,EFB106,FB,1.000,D,1.000,1.000,1.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,0,0.217,4
2016.000,EEM,d7b16a69927cdef04442b52594ee2cd7,CV,2.000,N,REN,REP,RET,02-01-2017,EFB106,FB,1.000,N,1.000,2.000,3.000,REG,DEP,AP1,30-12-2016,AN,C2,4.000,0.3,0.7,8.5,7.5,$null$,5.5,4.5,$null$,7.5,6.5,5,7,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,5.5,0.161,7
2016.000,EEM,deccd4e6c3ace68587e949f9cec5ff74,CV,2.000,D,REN,REP,RET,02-01-2017,EFB106,FB,1.000,D,2.000,3.000,4.000,REG,DEP,AP1,30-12-2016,AN,C2,4.000,0.3,0.7,5.5,2,1,1.5,3.5,5.5,9.5,8.5,10,7,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,2,0.145,11
2016.000,EEM,c4908b4da69834bd3f4ea0f11fa0272d,FB,1.000,N,REN,REP,RET,02-01-2017,EFB106,FB,1.000,N,2.000,3.000,5.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,2_Testando,0,0.217,4
2016.000,EEM,1997f92ff1a6e6d643614abe65fbaa58,MC,2.000,D,REN,REP,RET,02-01-2017,EFB106,FB,1.000,D,1.000,1.000,1.000,REG,DEP,RP1,30-12-2016,AN,C2,4.000,0.3,0.7,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,1_Treinamento,0,0.217,4
